,0
813,2
814,1
815,1
816,3
817,3
818,3
819,1
820,0
821,3
822,3
823,3
824,3
825,0
826,0
827,0
828,1
829,2
830,1
831,0
832,3
833,3
834,0
835,1
836,3
837,1
838,1
839,0
840,1
841,0
842,0
843,0
844,1
845,0
846,3
847,1
848,3
849,3
850,1
851,3
852,0
853,1
854,1
855,1
856,1
857,3
858,1
859,3
860,3
861,1
862,2
863,0
864,0
865,3
866,0
867,0
868,3
869,0
870,3
871,0
872,2
873,1
874,0
875,1
876,1
877,0
878,1
879,0
880,2
881,0
882,1
883,3
884,2
885,0
886,3
887,1
888,1
889,1
890,1
891,1
892,2
893,3
894,1
895,1
896,1
897,1
898,2
899,3
900,3
901,0
902,1
903,1
904,1
905,1
906,1
907,3
908,3
909,3
910,0
911,2
912,1
913,1
914,0
915,3
916,3
917,3
918,3
919,0
920,1
921,1
922,3
923,0
924,0
925,1
926,3
927,2
928,2
929,1
930,3
931,3
932,3
933,0
934,0
935,0
936,3
937,2
938,3
939,3
940,3
941,0
942,3
943,3
944,0
945,1
946,3
947,3
948,0
949,1
950,3
951,0
952,3
953,2
954,3
955,0
956,2
957,0
958,3
959,3
960,1
961,0
962,0
963,1
964,0
965,1
966,1
967,0
968,3
969,1
970,1
971,0
972,3
973,3
974,1
975,1
976,2
977,0
978,2
979,1
980,0
981,2
982,3
983,2
984,0
985,1
986,3
987,3
988,1
989,3
990,1
991,1
992,3
993,0
994,1
995,3
996,0
997,0
998,2
999,1
1000,1
1001,0
1002,0
1003,1
1004,3
1005,2
1006,3
1007,2
1008,0
1009,1
1010,3
1011,0
1012,1
1013,2
1014,0
1015,0
1016,3
1017,2
1018,0
1019,1
1020,2
1021,0
1022,1
1023,1
1024,0
1025,3
1026,1
1027,0
1028,1
1029,2
1030,3
1031,1
1032,1
1033,0
1034,2
1035,3
1036,1
1037,1
1038,1
1039,3
1040,3
1041,1
1042,1
1043,1
1044,1
1045,3
1046,2
1047,3
1048,0
1049,2
1050,1
1051,0
1052,1
1053,0
1054,3
1055,3
1056,0
1057,2
1058,3
1059,1
1060,3
1061,3
1062,0
1063,3
1064,2
1065,0
1066,0
1067,3
1068,0
1069,0
1070,1
1071,1
1072,3
1073,1
1074,3
1075,2
1076,1
1077,0
1078,3
1079,1
1080,1
1081,0
1082,0
1083,0
1084,3
1085,3
1086,0
1087,3
1088,1
1089,3
1090,3
1091,3
1092,1
1093,1
1094,1
1095,3
1096,2
1097,1
1098,3
1099,0
1100,0
1101,0
1102,3
1103,1
1104,1
1105,3
1106,3
1107,1
1108,3
1109,2
1110,1
1111,3
1112,3
1113,3
1114,3
1115,3
1116,3
1117,3
1118,3
1119,2
1120,3
1121,1
1122,3
1123,0
1124,3
1125,1
1126,0
1127,0
1128,3
1129,1
1130,3
1131,1
1132,3
1133,1
1134,0
1135,1
1136,1
1137,0
1138,3
1139,3
1140,0
1141,3
1142,1
1143,0
1144,3
1145,0
1146,0
1147,0
1148,3
1149,0
1150,3
1151,3
1152,3
1153,0
1154,2
1155,1
1156,3
1157,0
1158,3
1159,0
1160,3
1161,3
1162,0
1163,1
1164,3
1165,1
1166,1
1167,0
1168,0
1169,1
1170,3
1171,3
1172,3
1173,3
1174,0
1175,0
1176,3
1177,0
1178,1
1179,1
1180,1
1181,0
1182,1
1183,1
1184,0
1185,3
1186,0
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,3
1195,2
1196,1
1197,3
1198,3
1199,1
1200,2
1201,2
1202,3
1203,1
1204,0
1205,2
1206,3
1207,1
1208,3
1209,0
1210,3
1211,1
1212,0
1213,3
1214,0
1215,3
1216,1
1217,1
1218,3
1219,1
1220,3
1221,2
1222,0
1223,0
1224,1
1225,1
1226,3
1227,3
1228,1
1229,2
1230,1
1231,3
1232,0
1233,0
1234,3
1235,1
1236,3
1237,3
1238,1
1239,0
1240,0
1241,1
1242,2
1243,0
1244,0
1245,1
1246,3
1247,3
1248,3
1249,0
1250,0
1251,0
1252,3
1253,1
1254,0
1255,1
1256,1
1257,0
1258,3
1259,1
1260,0
1261,3
1262,3
1263,1
1264,1
1265,1
1266,1
1267,3
1268,3
1269,3
1270,1
1271,3
1272,1
1273,3
1274,1
1275,1
1276,1
1277,0
1278,1
1279,3
1280,1
1281,1
1282,3
1283,1
1284,0
1285,0
1286,3
1287,1
1288,3
1289,2
1290,1
1291,3
1292,3
1293,0
1294,0
1295,1
1296,0
1297,0
1298,1
1299,1
1300,3
1301,3
1302,2
1303,0
1304,1
1305,3
1306,3
1307,1
1308,1
1309,0
1310,1
1311,0
1312,0
1313,3
1314,1
1315,1
1316,3
1317,1
1318,2
1319,1
1320,0
1321,2
1322,3
1323,1
1324,0
1325,0
1326,1
1327,3
1328,3
1329,0
1330,0
1331,2
1332,1
1333,1
1334,1
1335,1
1336,0
1337,2
1338,2
1339,1
1340,1
1341,2
1342,1
1343,3
1344,0
1345,1
1346,1
1347,0
1348,1
1349,1
1350,1
1351,3
1352,1
1353,0
1354,0
1355,3
1356,1
1357,3
1358,1
1359,1
1360,1
1361,1
1362,1
1363,1
1364,2
1365,1
1366,1
1367,3
1368,3
1369,3
1370,1
1371,2
1372,1
1373,1
1374,2
1375,1
1376,0
1377,0
1378,2
1379,0
1380,0
1381,1
1382,0
1383,3
1384,3
1385,0
1386,1
1387,3
1388,1
1389,3
1390,3
1391,1
1392,3
1393,3
1394,0
1395,1
1396,3
1397,0
1398,3
1399,0
1400,1
1401,1
1402,1
1403,1
1404,1
1405,1
1406,0
1407,1
1408,1
1409,3
1410,3
1411,0
1412,1
1413,2
1414,1
1415,0
1416,0
1417,3
1418,3
1419,3
1420,0
1421,3
1422,1
1423,3
1424,1
1425,1
1426,3
1427,3
1428,3
1429,3
1430,0
1431,1
1432,3
1433,0
1434,0
1435,2
1436,0
1437,2
1438,3
1439,1
1440,3
1441,2
1442,0
1443,2
1444,3
1445,1
1446,3
1447,3
1448,2
1449,0
1450,0
1451,1
1452,0
1453,3
1454,3
1455,0
1456,1
1457,0
1458,3
1459,1
1460,1
1461,3
1462,0
1463,3
1464,0
1465,1
1466,3
1467,3
1468,3
1469,1
1470,1
1471,1
1472,1
1473,3
1474,1
1475,1
1476,1
1477,0
1478,3
1479,3
1480,3
1481,0
1482,3
1483,0
1484,1
1485,3
1486,3
1487,3
1488,0
1489,3
1490,3
1491,0
1492,3
1493,2
1494,0
1495,0
1496,1
1497,1
1498,2
1499,2
1500,1
1501,1
1502,3
1503,0
1504,3
1505,0
1506,3
1507,0
1508,2
1509,0
1510,0
1511,3
1512,3
1513,1
1514,1
1515,3
1516,3
1517,2
1518,3
1519,3
1520,0
1521,0
1522,3
1523,0
1524,3
1525,1
1526,1
1527,0
1528,0
1529,2
1530,1
1531,0
1532,0
1533,0
1534,1
1535,1
1536,0
1537,1
1538,0
1539,2
1540,3
1541,3
1542,2
1543,3
1544,1
1545,1
1546,3
1547,3
1548,3
1549,0
1550,3
1551,0
1552,3
1553,0
1554,3
1555,3
1556,1
1557,1
1558,3
1559,0
1560,3
1561,3
1562,3
1563,2
1564,0
1565,2
1566,1
1567,1
1568,3
1569,0
1570,1
1571,1
1572,0
1573,0
1574,2
1575,2
1576,0
1577,0
1578,1
1579,3
1580,3
1581,1
1582,0
1583,2
1584,0
1585,3
1586,2
1587,3
1588,3
1589,1
1590,3
1591,3
1592,0
1593,3
1594,1
1595,0
1596,1
1597,1
1598,1
1599,0
1600,0
1601,1
1602,0
1603,0
1604,3
1605,2
1606,1
1607,3
1608,3
1609,0
1610,2
1611,1
1612,3
1613,1
1614,1
1615,0
1616,2
1617,1
1618,0
1619,3
1620,0
1621,1
1622,1
1623,0
1624,1
1625,0
1626,0
1627,1
1628,1
1629,1
1630,0
1631,3
1632,1
1633,0
1634,1
1635,3
1636,1
1637,3
1638,2
1639,3
1640,3
1641,3
1642,3
1643,1
1644,0
1645,3
1646,3
1647,3
1648,3
1649,0
1650,3
1651,0
1652,0
1653,3
1654,3
1655,0
1656,3
1657,1
1658,1
1659,2
1660,0
1661,3
1662,3
1663,1
1664,0
1665,3
1666,1
1667,1
1668,1
1669,1
1670,1
1671,3
1672,3
1673,3
1674,0
1675,0
1676,3
1677,0
1678,1
1679,3
1680,1
1681,3
1682,3
1683,1
1684,3
1685,3
1686,3
1687,1
1688,0
1689,0
1690,1
1691,0
1692,3
1693,1
1694,0
1695,1
1696,1
1697,1
1698,0
1699,3
1700,3
1701,0
1702,3
1703,3
1704,0
1705,1
1706,3
1707,0
1708,1
1709,0
1710,1
1711,3
1712,3
1713,0
1714,3
1715,1
1716,0
1717,3
1718,1
1719,0
1720,0
1721,1
1722,1
1723,3
1724,3
1725,1
1726,3
1727,1
1728,1
1729,1
1730,1
1731,3
1732,1
1733,1
1734,1
1735,2
1736,3
1737,0
1738,1
1739,2
1740,3
1741,2
1742,0
1743,3
1744,1
1745,0
1746,1
1747,0
1748,3
1749,0
1750,3
1751,1
1752,1
1753,2
1754,0
1755,1
1756,1
1757,3
1758,1
1759,0
1760,1
1761,0
1762,0
1763,2
1764,1
1765,0
1766,1
1767,0
1768,0
1769,1
1770,1
1771,3
1772,1
1773,1
1774,1
1775,3
1776,3
1777,1
1778,1
1779,3
1780,2
1781,1
1782,1
1783,1
1784,0
1785,0
1786,3
1787,0
1788,1
1789,0
1790,3
1791,3
1792,1
1793,0
1794,1
1795,0
1796,1
1797,0
1798,0
1799,0
1800,3
1801,3
1802,1
1803,1
1804,3
1805,3
1806,2
1807,1
1808,0
1809,2
1810,3
1811,3
1812,2
1813,1
1814,3
1815,3
1816,0
1817,0
1818,2
1819,3
1820,0
1821,1
1822,2
1823,3
1824,3
1825,2
1826,1
1827,0
1828,1
1829,1
1830,3
1831,3
1832,3
1833,3
1834,1
1835,1
1836,1
1837,1
1838,2
1839,1
1840,2
1841,0
1842,3
1843,0
1844,0
1845,1
1846,1
1847,3
1848,0
1849,3
1850,0
1851,1
1852,3
1853,3
1854,0
1855,3
1856,3
1857,1
1858,3
1859,0
1860,1
1861,1
1862,2
1863,1
1864,0
1865,1
1866,1
1867,3
1868,3
1869,1
1870,3
1871,3
1872,0
1873,0
1874,3
1875,3
1876,2
1877,0
1878,1
1879,0
1880,3
1881,2
1882,2
1883,0
1884,0
1885,0
1886,3
1887,3
1888,0
1889,1
1890,1
1891,0
1892,1
1893,2
1894,1
1895,1
1896,3
1897,0
1898,1
1899,3
1900,1
1901,3
1902,0
1903,0
1904,0
1905,3
1906,1
1907,3
1908,0
1909,0
1910,3
1911,3
1912,0
1913,2
1914,0
1915,1
1916,3
1917,3
1918,1
1919,3
1920,0
1921,3
1922,3
1923,3
1924,3
1925,0
1926,3
1927,2
1928,2
1929,1
1930,3
1931,3
1932,3
1933,3
1934,0
1935,1
1936,1
1937,3
1938,3
1939,2
1940,3
1941,1
1942,3
1943,0
1944,0
1945,0
1946,0
1947,0
1948,1
1949,3
1950,0
1951,0
1952,0
1953,1
1954,3
1955,2
1956,1
1957,1
1958,1
1959,3
1960,3
1961,3
1962,2
1963,2
1964,1
1965,3
1966,3
1967,3
1968,3
1969,0
1970,3
1971,1
1972,0
1973,0
1974,1
1975,1
1976,3
1977,3
1978,0
1979,0
1980,0
1981,1
1982,3
1983,2
1984,1
1985,3
1986,3
1987,3
1988,0
1989,1
1990,0
1991,3
1992,1
1993,1
1994,0
1995,3
1996,1
1997,3
1998,3
1999,1
2000,2
2001,0
2002,1
2003,3
2004,1
2005,3
2006,1
2007,1
2008,0
2009,0
2010,0
2011,0
2012,3
2013,3
2014,1
2015,3
2016,0
2017,3
2018,2
2019,3
2020,0
2021,1
2022,3
2023,0
2024,3
2025,2
2026,3
2027,1
2028,2
2029,3
2030,1
2031,3
2032,3
2033,3
2034,1
2035,2
2036,1
2037,1
2038,1
2039,1
2040,2
2041,0
2042,2
2043,0
2044,0
2045,3
2046,0
2047,3
2048,1
2049,1
2050,3
2051,0
2052,3
2053,3
2054,3
2055,0
2056,1
2057,1
2058,0
2059,3
2060,3
2061,2
2062,1
2063,3
2064,1
2065,3
2066,1
2067,1
2068,3
2069,1
2070,1
2071,1
2072,3
2073,3
2074,1
2075,3
2076,1
2077,0
2078,1
2079,1
2080,3
2081,3
2082,0
2083,3
2084,3
2085,1
2086,1
2087,2
2088,3
2089,0
2090,3
2091,0
2092,0
2093,1
2094,1
2095,3
2096,1
2097,2
2098,0
2099,3
2100,0
2101,1
2102,1
2103,3
2104,3
2105,2
2106,1
2107,1
2108,3
2109,1
2110,3
2111,3
2112,0
2113,1
2114,1
2115,1
2116,0
2117,3
2118,0
2119,0
2120,3
2121,1
2122,1
2123,0
2124,2
2125,3
2126,1
2127,1
2128,3
2129,0
2130,0
2131,3
2132,3
2133,2
2134,1
2135,1
2136,3
2137,3
2138,3
2139,3
2140,2
2141,3
2142,1
2143,1
2144,3
2145,1
2146,2
2147,1
2148,3
2149,2
2150,0
2151,3
2152,3
2153,1
2154,0
2155,0
2156,3
2157,1
2158,1
2159,2
2160,3
2161,1
2162,0
2163,0
2164,1
2165,2
2166,3
2167,3
2168,3
2169,3
2170,3
2171,3
2172,0
2173,0
2174,1
2175,0
2176,0
2177,0
2178,3
2179,1
2180,1
2181,1
2182,1
2183,1
2184,3
2185,1
2186,1
2187,1
2188,3
2189,0
2190,3
2191,0
2192,0
2193,0
2194,0
2195,1
2196,3
2197,1
2198,1
2199,0
2200,3
2201,1
2202,3
2203,2
2204,1
2205,3
2206,0
2207,1
2208,0
2209,1
2210,2
2211,0
2212,0
2213,1
2214,1
2215,1
2216,3
2217,3
2218,1
2219,1
2220,1
2221,1
2222,0
2223,1
2224,1
2225,0
2226,3
2227,2
2228,0
2229,2
2230,3
2231,1
2232,1
2233,2
2234,2
2235,3
2236,0
2237,1
2238,3
2239,3
2240,3
2241,0
2242,1
2243,3
2244,1
2245,1
2246,1
2247,1
2248,3
2249,2
2250,0
2251,0
2252,0
2253,3
2254,3
2255,0
2256,1
2257,1
2258,2
2259,1
2260,3
2261,3
2262,1
2263,1
2264,0
2265,0
2266,0
2267,3
2268,2
2269,1
2270,3
2271,3
2272,0
2273,0
2274,0
2275,3
2276,3
2277,3
2278,3
2279,1
2280,1
2281,1
2282,0
2283,3
2284,1
2285,3
2286,0
2287,0
2288,1
2289,1
2290,3
2291,1
2292,0
2293,0
2294,3
2295,2
2296,0
2297,1
2298,0
2299,0
2300,1
2301,0
2302,1
2303,3
2304,0
2305,2
2306,0
2307,1
2308,0
2309,0
2310,3
2311,0
2312,3
2313,1
2314,1
2315,1
2316,1
2317,0
2318,3
2319,1
2320,1
2321,1
2322,3
2323,3
2324,1
2325,3
2326,1
2327,1
2328,1
2329,1
2330,0
2331,3
2332,1
2333,1
2334,3
2335,1
2336,3
2337,1
2338,0
2339,0
2340,1
2341,3
2342,2
2343,0
2344,1
2345,1
2346,2
2347,1
2348,1
2349,1
2350,1
2351,3
2352,1
2353,3
2354,1
2355,0
2356,3
2357,3
2358,2
2359,1
2360,1
2361,1
2362,0
2363,1
2364,1
2365,2
2366,1
2367,0
2368,3
2369,1
2370,0
2371,1
2372,1
2373,1
2374,1
2375,3
2376,1
2377,3
2378,1
2379,3
2380,1
2381,3
2382,0
2383,1
2384,2
2385,3
2386,2
2387,1
2388,3
2389,3
2390,0
2391,1
2392,0
2393,0
2394,1
2395,3
2396,1
2397,3
2398,2
2399,0
2400,1
2401,3
2402,3
2403,3
2404,3
2405,3
2406,0
2407,2
2408,1
2409,1
2410,0
2411,3
2412,0
2413,3
2414,3
2415,1
2416,0
2417,1
2418,0
2419,3
2420,2
2421,2
2422,1
2423,2
2424,1
2425,3
2426,2
2427,3
2428,1
2429,3
2430,1
2431,3
2432,3
2433,3
2434,1
2435,0
2436,1
2437,0
2438,1
2439,0
2440,3
2441,0
2442,3
2443,2
2444,3
2445,2
2446,0
2447,3
2448,0
2449,1
2450,2
2451,1
2452,1
2453,0
2454,0
2455,0
2456,0
2457,3
2458,3
2459,1
2460,2
2461,1
2462,0
2463,3
2464,0
2465,1
2466,1
2467,0
2468,1
2469,0
2470,1
2471,2
2472,3
2473,3
2474,1
2475,3
2476,3
2477,3
2478,1
2479,2
2480,1
2481,2
2482,3
2483,2
2484,0
2485,0
2486,2
2487,3
2488,1
2489,1
2490,0
2491,3
2492,0
2493,3
2494,2
2495,1
2496,3
2497,1
2498,0
2499,0
2500,1
2501,0
2502,1
2503,0
2504,3
2505,1
2506,3
2507,2
2508,0
2509,0
2510,1
2511,0
2512,1
2513,2
2514,0
2515,0
2516,1
2517,0
2518,0
2519,3
2520,1
2521,1
2522,1
2523,3
2524,3
2525,0
2526,2
2527,1
2528,1
2529,0
2530,0
2531,1
2532,0
2533,0
2534,3
2535,0
2536,0
2537,1
2538,3
2539,0
2540,3
2541,3
2542,2
2543,2
2544,0
2545,2
2546,2
2547,1
2548,1
2549,1
2550,0
2551,3
2552,3
2553,3
2554,3
2555,3
2556,0
2557,0
2558,3
2559,1
2560,1
2561,2
2562,1
2563,3
2564,0
2565,2
2566,3
2567,0
2568,0
2569,0
2570,0
2571,3
2572,3
2573,0
2574,1
2575,3
2576,0
2577,3
2578,1
2579,1
2580,3
2581,1
2582,0
2583,3
2584,3
2585,2
2586,1
2587,0
2588,3
2589,0
2590,2
2591,1
2592,0
2593,0
2594,1
2595,3
2596,3
2597,1
2598,1
2599,3
2600,3
2601,3
2602,3
2603,3
2604,1
2605,0
2606,3
2607,3
2608,2
2609,0
2610,0
2611,1
2612,0
2613,3
2614,0
2615,0
2616,0
2617,2
2618,1
2619,0
2620,2
2621,1
2622,0
2623,0
2624,1
2625,0
2626,0
2627,1
2628,1
2629,3
2630,3
2631,3
2632,3
2633,0
2634,2
2635,2
2636,0
2637,1
2638,3
2639,1
2640,2
2641,0
2642,1
2643,0
2644,3
2645,1
2646,1
2647,3
2648,1
2649,2
2650,0
2651,3
2652,0
2653,1
2654,1
2655,2
2656,0
2657,0
2658,1
2659,0
2660,3
2661,0
2662,3
2663,1
2664,0
2665,2
2666,1
2667,3
2668,2
2669,3
2670,0
2671,3
2672,3
2673,3
2674,3
2675,0
2676,3
2677,0
2678,3
2679,0
2680,3
2681,0
2682,1
2683,3
2684,3
2685,1
2686,1
2687,0
2688,1
2689,3
2690,0
2691,0
2692,3
2693,0
2694,3
2695,1
2696,1
2697,1
2698,1
2699,3
2700,3
2701,1
2702,1
2703,1
2704,0
2705,3
2706,3
2707,1
2708,1
2709,3
2710,0
2711,3
2712,3
2713,3
2714,1
2715,0
2716,0
2717,3
2718,3
2719,3
2720,1
2721,3
2722,3
2723,3
2724,1
2725,3
2726,0
2727,2
2728,3
2729,0
2730,3
2731,0
2732,0
2733,3
2734,0
2735,3
2736,3
2737,3
2738,0
2739,2
2740,3
2741,0
2742,2
2743,0
2744,0
2745,1
2746,2
2747,3
2748,1
2749,1
2750,3
2751,2
2752,3
2753,3
2754,1
2755,3
2756,1
2757,0
2758,0
2759,1
2760,1
2761,1
2762,3
2763,3
2764,1
2765,1
2766,1
2767,3
2768,3
2769,0
2770,2
2771,3
2772,2
2773,3
2774,3
2775,1
2776,0
2777,3
2778,0
2779,3
2780,3
2781,0
2782,3
2783,3
2784,1
2785,0
2786,3
2787,1
2788,1
2789,3
2790,1
2791,3
2792,3
2793,0
2794,0
2795,1
2796,0
2797,1
2798,3
2799,0
2800,0
2801,3
2802,2
2803,3
2804,3
2805,0
2806,3
2807,1
2808,1
2809,3
2810,1
2811,0
2812,0
2813,1
2814,3
2815,3
2816,3
2817,1
2818,3
2819,3
2820,1
2821,3
2822,3
2823,0
2824,1
2825,3
2826,0
2827,0
2828,3
2829,3
2830,1
2831,0
2832,3
2833,1
2834,0
2835,1
2836,3
2837,1
2838,1
2839,0
2840,2
2841,0
2842,1
2843,0
2844,1
2845,2
2846,1
2847,1
2848,2
2849,3
2850,3
2851,0
2852,1
2853,0
2854,1
2855,3
2856,0
2857,1
2858,3
2859,0
2860,1
2861,1
2862,3
2863,0
2864,1
2865,1
2866,1
2867,2
2868,0
2869,3
2870,0
2871,0
2872,1
2873,1
2874,0
2875,2
2876,3
2877,0
2878,3
2879,3
2880,3
2881,0
2882,0
2883,2
2884,0
2885,1
2886,3
2887,1
2888,0
2889,0
2890,1
2891,0
2892,0
2893,0
2894,1
2895,0
2896,2
2897,3
2898,0
2899,2
2900,0
2901,1
2902,1
2903,1
2904,1
2905,0
2906,3
2907,1
2908,1
2909,1
2910,3
2911,1
2912,3
2913,0
2914,1
2915,1
2916,0
2917,1
2918,0
2919,0
2920,1
2921,3
2922,3
2923,0
2924,3
2925,1
2926,3
2927,0
2928,3
2929,1
2930,2
2931,1
2932,3
2933,3
2934,3
2935,3
2936,3
2937,2
2938,3
2939,0
2940,2
2941,1
2942,3
2943,3
2944,1
2945,1
2946,2
2947,3
2948,3
2949,0
2950,1
2951,1
2952,0
2953,3
2954,3
2955,1
2956,1
2957,1
2958,0
2959,2
2960,3
2961,3
2962,3
2963,3
2964,1
2965,3
2966,0
2967,3
2968,0
2969,2
2970,1
2971,1
2972,1
2973,3
2974,3
2975,1
2976,1
2977,3
2978,2
2979,0
2980,0
2981,3
2982,0
2983,1
2984,3
2985,3
2986,1
2987,0
2988,0
2989,3
2990,2
2991,1
2992,1
2993,0
2994,1
2995,3
2996,1
2997,3
